offset	F0
1.1	0.271092857
1.2	0.270435714
1.3	0.265567143
1.4	0.270472857
1.5	0.258997143
1.6	0.260517143
1.7	0.264652857
1.8	0.270297143
1.9	0.262965714
2	0.262502857
2.1	0.260944286
2.2	0.264777143
2.3	0.265942857
2.4	0.255071429
2.5	0.25941
2.6	0.256201429
2.7	0.259811429
2.8	0.259801429
2.9	0.258657143
3	0.254762857
3.1	0.254781429
3.2	0.255777143
3.3	0.259208571
3.4	0.249578571
3.5	0.253808571
3.6	0.248024286
3.7	0.255255714
3.8	0.25503
3.9	0.255252857
4	0.263715714
4.1	0.262441429
4.2	0.258621429
4.3	0.262072857
4.4	0.260527143
4.5	0.257945714
4.6	0.256738571
4.7	0.260458571
4.8	0.266277143
4.9	0.259404286
5	0.262564286
5.1	0.261202857
5.2	0.257168571
5.3	0.266244286
5.4	0.274948571
5.5	0.269894286
5.6	0.268274286
5.7	0.269367143
5.8	0.278654286
5.9	0.274812857
6	0.277675714
6.1	0.284824286
6.2	0.279391429
6.3	0.276377143
6.4	0.27539
6.5	0.275621429
6.6	0.273745714
6.7	0.280372857
6.8	0.283882857
6.9	0.282484286
7	0.284137143
7.1	0.284965714
7.2	0.294978571
7.3	0.288347143
7.4	0.298221429
7.5	0.297531429
7.6	0.304855714
7.7	0.299054286
7.8	0.303047143
7.9	0.301765714
8	0.300888571
8.1	0.302927143
8.2	0.311657143
8.3	0.302372857
8.4	0.303484286
8.5	0.312247143
8.6	0.312644286
8.7	0.316925714
8.8	0.310697143
8.9	0.305952857
9	0.306954286
9.1	0.314212857
9.2	0.306747143
9.3	0.301062857
9.4	0.303625714
9.5	0.318985714
9.6	0.321287143
9.7	0.315385714
9.8	0.313671429
9.9	0.310921429
10	0.316357143
10.1	0.311874286
10.2	0.321378571
10.3	0.318201429
10.4	0.315192857
10.5	0.309597143
10.6	0.316597143
10.7	0.323961429
10.8	0.319595714
10.9	0.318201429
11	0.321538571
11.1	0.31954
11.2	0.317625714
11.3	0.312365714
11.4	0.310691429
11.5	0.321515714
11.6	0.321711429
11.7	0.311434286
11.8	0.310671429
11.9	0.314575714
12	0.311115714
12.1	0.315438571
12.2	0.313277143
12.3	0.316032857
12.4	0.32237
12.5	0.323967143
12.6	0.319812857
12.7	0.316997143
12.8	0.317688571
12.9	0.326595714
13	0.322302857
13.1	0.332141429
13.2	0.32035
13.3	0.327087143
13.4	0.330751429
13.5	0.323384286
13.6	0.317534286
13.7	0.320714286
13.8	0.322204286
13.9	0.327902857
14	0.328332857
14.1	0.320318571
14.2	0.320825714
14.3	0.322145714
14.4	0.322714286
14.5	0.320387143
14.6	0.323541429
14.7	0.321575714
14.8	0.322314286
14.9	0.326475714
15	0.326778571
15.1	0.325981429
15.2	0.327861429
15.3	0.32609
15.4	0.328921429
15.5	0.334664286
15.6	0.330847143
15.7	0.33302
15.8	0.33415
15.9	0.333891429
16	0.331512857
16.1	0.329437143
16.2	0.330227143
16.3	0.332108571
16.4	0.336674286
16.5	0.325761429
16.6	0.329074286
16.7	0.324277143
16.8	0.325627143
16.9	0.32441
17	0.324242857
17.1	0.32529
17.2	0.328235714
17.3	0.328268571
17.4	0.32803
17.5	0.332522857
17.6	0.332305714
17.7	0.329275714
17.8	0.332582857
17.9	0.332354286
18	0.327928571
18.1	0.331384286
18.2	0.327231429
18.3	0.329448571
18.4	0.333064286
18.5	0.327051429
18.6	0.336684286
18.7	0.335187143
18.8	0.343134286
18.9	0.348268571
19	0.346534286
19.1	0.345675714
19.2	0.349654286
19.3	0.357195714
19.4	0.357165714
19.5	0.349807143
19.6	0.356032857
19.7	0.352688571
19.8	0.344548571
19.9	0.340662857
20	0.34514
20.1	0.353145714
20.2	0.350998571
20.3	0.350705714
20.4	0.352215714
20.5	0.35277
20.6	0.353512857
20.7	0.349125714
20.8	0.352164286
20.9	0.347341429
21	0.346114286
21.1	0.346405714
21.2	0.346948571
21.3	0.345425714
21.4	0.351751429
21.5	0.357908571
21.6	0.354002857
21.7	0.349688571
21.8	0.345651429
21.9	0.353907143
22	0.348847143
22.1	0.350944286
22.2	0.353662857
22.3	0.352425714
22.4	0.3582
22.5	0.362764286
22.6	0.36026
22.7	0.360318571
22.8	0.355294286
22.9	0.363811429
23	0.359967143
23.1	0.360775714
23.2	0.361125714
23.3	0.360348571
23.4	0.362168571
23.5	0.361782857
23.6	0.35966
23.7	0.36192
23.8	0.368701429
23.9	0.363305714
