Offset	f 
1.1	0.991327461
1.2	0.99605636
1.3	0.993909546
1.4	0.996074076
1.5	0.998813092
1.6	0.9990115
1.7	1.001215276
1.8	1.00033777
1.9	1.00242075
2	1.002429547
2.1	1.006416058
2.2	1.006165117
2.3	1.008030458
2.4	1.009694581
2.5	1.010515738
2.6	1.011315714
2.7	1.011955382
2.8	1.013853589
2.9	1.014113462
3	1.012394862
3.1	1.014337348
3.2	1.014118008
3.3	1.017475701
3.4	1.016411936
3.5	1.017609064
3.6	1.018729668
3.7	1.019371546
3.8	1.01928914
3.9	1.018618135
4	1.020708663
4.1	1.023395172
4.2	1.023939607
4.3	1.023998226
4.4	1.024081396
4.5	1.025494436
4.6	1.025560983
4.7	1.026397386
4.8	1.026913849
4.9	1.02799789
5	1.029434534
5.1	1.028536413
5.2	1.03021204
5.3	1.030398916
5.4	1.030375081
5.5	1.031270978
5.6	1.032985686
5.7	1.031879384
5.8	1.033237323
5.9	1.03456108
6	1.0343381
6.1	1.03495236
6.2	1.035496523
6.3	1.03579802
6.4	1.036114486
6.5	1.037340968
6.6	1.037154177
6.7	1.037719513
6.8	1.0380804
6.9	1.038697244
7	1.039970536
7.1	1.040243596
7.2	1.039438986
7.3	1.041456469
7.4	1.040176912
7.5	1.042832112
7.6	1.042569374
7.7	1.041469443
7.8	1.042387853
7.9	1.043761427
8	1.042803457
8.1	1.044116135
8.2	1.043918772
8.3	1.043258637
8.4	1.044949016
8.5	1.046676692
8.6	1.045997891
8.7	1.046071773
8.8	1.046992336
8.9	1.045284264
9	1.047155029
9.1	1.045905245
9.2	1.046736045
9.3	1.046368831
9.4	1.04738433
9.5	1.04877464
9.6	1.047595371
9.7	1.047799456
9.8	1.048164913
9.9	1.047799075
10	1.049210239
10.1	1.047681848
10.2	1.050189007
10.3	1.049664344
10.4	1.051310414
10.5	1.049922454
10.6	1.049240106
10.7	1.049458578
10.8	1.048151867
10.9	1.048989962
11	1.04965785
11.1	1.048599243
11.2	1.049724801
11.3	1.049663771
11.4	1.049967173
11.5	1.050636689
11.6	1.048784174
11.7	1.050337109
11.8	1.050050696
11.9	1.049663294
12	1.049880892
12.1	1.05020851
12.2	1.050819564
12.3	1.049634167
12.4	1.049067606
12.5	1.05032353
12.6	1.049938602
12.7	1.048359312
12.8	1.050095235
12.9	1.049456669
13	1.048811633
13.1	1.049763294
13.2	1.048409329
13.3	1.047614587
13.4	1.04855445
13.5	1.049570093
13.6	1.049699395
13.7	1.04873498
13.8	1.047739316
13.9	1.047701733
14	1.047365028
14.1	1.047708108
14.2	1.046693595
14.3	1.045850632
14.4	1.047570164
14.5	1.046162173
14.6	1.047812398
14.7	1.044924409
14.8	1.046080974
14.9	1.044997477
15	1.044449336
15.1	1.043768604
15.2	1.046008228
15.3	1.044108103
15.4	1.043561744
15.5	1.043359779
15.6	1.04346934
15.7	1.041589516
15.8	1.041663623
15.9	1.042527638
16	1.041915272
16.1	1.040983322
16.2	1.040552368
16.3	1.040147371
16.4	1.039122638
16.5	1.03921418
16.6	1.036917031
16.7	1.038418826
16.8	1.038713796
16.9	1.038389665
17	1.036688936
17.1	1.035478493
17.2	1.034687823
17.3	1.034790466
17.4	1.032242777
17.5	1.032115154
17.6	1.031241388
17.7	1.031401436
17.8	1.031511912
17.9	1.031991994
18	1.028752219
18.1	1.028634813
18.2	1.028694063
18.3	1.026867142
18.4	1.026607636
18.5	1.026277777
18.6	1.024706192
18.7	1.02430243
18.8	1.023589391
18.9	1.021874484
19	1.020012972
19.1	1.018653661
19.2	1.01928905
19.3	1.018359005
19.4	1.017755839
19.5	1.016141039
19.6	1.015438867
19.7	1.014651365
19.8	1.012461763
19.9	1.012650343
20	1.010791791
20.1	1.009097396
20.2	1.008396019
20.3	1.007390991
20.4	1.006797405
20.5	1.003287956
20.6	1.00300125
20.7	1.001259505
20.8	1.000965619
20.9	0.997396518
21	0.997836387
21.1	0.99708137
21.2	0.994142674
21.3	0.992957444
21.4	0.993140964
21.5	0.990407163
21.6	0.987997102
21.7	0.986317237
21.8	0.983910233
21.9	0.983375503
22	0.980766826
22.1	0.979338339
22.2	0.978135296
22.3	0.974500537
22.4	0.972688554
22.5	0.971583108
22.6	0.970941473
22.7	0.967365806
22.8	0.965893894
22.9	0.963198547
23	0.961075509
23.1	0.958757636
23.2	0.956285063
23.3	0.955362587
23.4	0.949540995
23.5	0.948416007
23.6	0.945818819
23.7	0.941709903
23.8	0.939985306
23.9	0.936065382
